
Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Brandon Armstrong\armstbr01,2002,2004,G,6-5,188,June 16 1980,Pepperdine
Curly Armstrong\armstcu01,1949,1951,G-F,5-11,170,November 1 1918,Indiana
Darrell Armstrong\armstda01,1995,2008,G,6-0,170,June 22 1968,Fayetteville State University
Hilton Armstrong\armsthi01,2007,2014,F-C,6-11,235,November 11 1984,UConn
Tate Armstrong\armstta01,1978,1979,G,6-3,175,October 5 1955,Duke
Jesse Arnelle\arnelje01,1956,1956,F,6-5,220,December 30 1933,Penn State
Jay Arnette\arnetja01,1964,1966,G,6-2,175,December 19 1938,Texas
Bob Arnzen\arnzebo01,1970,1974,F,6-5,205,November 3 1947,Notre Dame
Carlos Arroyo\arroyca01,2002,2011,G,6-2,202,July 30 1979,Florida International University
Darrell Arthur\arthuda01,2009,2018,F,6-9,235,March 25 1988,Kansas
John Arthurs\arthujo01,1970,1970,G,6-4,185,August 15 1947,Tulane
Jamel Artis\artisja01,2018,2018,G-F,6-7,213,January 12 1993,Pitt
Ömer Aşık\asikom01,2011,2018,C,7-0,255,July 4 1986,
Vincent Askew\askewvi01,1988,1998,G-F,6-6,210,February 28 1966,Memphis
Keith Askins\askinke01,1991,1999,G-F,6-7,197,December 15 1967,Alabama
Don Asmonga\asmondo01,1954,1954,G,6-2,185,February 15 1928,Alliance College
Dick Atha\athadi01,1956,1958,G,6-2,190,September 21 1931,Indiana State University
Chucky Atkins\atkinch01,2000,2010,G,5-11,160,August 14 1974,South Florida
Al Attles\attleal01,1961,1971,G,6-0,175,November 7 1936,North Carolina A&T
Chet Aubuchon\aubucch01,1947,1947,G,5-10,137,May 18 1916,Michigan State
Stacey Augmon\augmost01,1992,2006,F-G,6-8,205,August 1 1968,UNLV
D.J. Augustin\augusdj01,2009,2020,G,5-11,183,November 10 1987,Texas
James Augustine\augusja01,2007,2008,F,6-10,235,February 27 1984,Illinois
Isaac Austin\austiis01,1992,2002,C,6-10,255,August 18 1969,Arizona State
Johnny Austin\austijo01,1967,1968,G,6-0,170,August 31 1944,Boston College
Ken Austin\austike01,1984,1984,F,6-9,205,July 15 1961,Rice University
Anthony Avent\aventan01,1993,2000,F,6-9,235,October 18 1969,Seton Hall
Bird Averitt\averibi01,1974,1978,G,6-1,170,July 22 1952,Pepperdine
William Avery\averywi01,2000,2002,G,6-2,197,August 8 1979,Duke
Dennis Awtrey\awtrede01,1971,1982,C,6-10,235,February 22 1948,Santa Clara
Gustavo Ayón\ayongu01,2012,2014,C,6-10,250,April 1 1985,
Jeff Ayres\pendeje02,2010,2016,F,6-9,240,April 29 1987,Arizona State
Deandre Ayton\aytonde01,2019,2020,C,6-11,250,July 23 1998,Arizona
Kelenna Azubuike\azubuke01,2007,2012,G,6-5,220,December 16 1983,Kentucky
